,Unnamed: 0,user_id,book_id,rating,goodreads_book_id,tag_id,count,genre_x,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
1520,1520,9491,1523,3,8525590,26138,811,romance,13392566,44,1442409053,9780000000000.0,Lauren DeStefano,2011.0,Wither,"Wither (The Chemical Garden, #1)",eng,3.81,84776,88657,7886,3105,7449,20924,28676,28503,https://images.gr-assets.com/books/1341532430m/8525590.jpg
1539,1539,22230,1542,4,16034964,26138,259,romance,21807237,41,988393506,9780000000000.0,Cora Carmack,2012.0,Losing It,"Losing It (Losing It, #1)",eng,3.77,84438,91275,6615,2396,7028,24581,32744,24526,https://images.gr-assets.com/books/1348459319m/16034964.jpg
1544,1544,143,1547,2,6976,26138,152,romance,1408375,48,143036696,9780000000000.0,Sue Monk Kidd,2004.0,The Mermaid Chair,The Mermaid Chair,eng,3.1,62760,65696,5910,4807,13288,24684,16305,6612,https://images.gr-assets.com/books/1388259308m/6976.jpg
1558,1558,42850,1562,5,22609310,26138,1744,romance,42099145,28,1476791457,9780000000000.0,Colleen Hoover,2015.0,,Confess,en-GB,4.25,72611,86860,11682,1122,2934,12186,27722,42896,https://images.gr-assets.com/books/1412280173m/22609310.jpg
1562,1562,179,1566,1,5246,26138,182,romance,132919,529,142437808,9780000000000.0,Edith Wharton,1911.0,Ethan Frome,Ethan Frome,eng,3.35,72421,81757,4204,7015,11389,24161,24061,15131,https://images.gr-assets.com/books/1389822254m/5246.jpg
1564,1564,30361,1568,5,27362503,26138,1531,romance,43940889,19,,,Colleen Hoover,2016.0,It Ends with Us,It Ends with Us,eng,4.44,80433,94915,15878,1172,2155,8566,24847,58175,https://images.gr-assets.com/books/1470427482m/27362503.jpg
1571,1571,3946,1575,5,3213286,26138,1000,romance,3247053,77,142412147,9780000000000.0,"John Green, Maureen Johnson, Lauren Myracle",2008.0,Let It Snow: Three Holiday Romances,Let It Snow: Three Holiday Romances,eng,3.84,57632,76517,7640,1110,4837,20638,28643,21289,https://images.gr-assets.com/books/1489409554m/3213286.jpg
1579,1579,796,1583,4,25373,26138,852,romance,929639,34,375835318,9780000000000.0,"Rachel Cohn, David Levithan",2006.0,Nick & Norah's Infinite Playlist,Nick & Norah's Infinite Playlist,en-US,3.73,60372,71514,4348,2378,6204,19509,23714,19709,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1582,1582,220,1586,4,607639,1691,174,action,1020156,88,1573226521,9780000000000.0,Alex Garland,1996.0,The Beach,The Beach,eng,3.91,52333,57583,2079,838,3254,13336,22974,17181,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1590,1590,1515,1594,2,854757,26138,1932,romance,1616066,58,312987854,9780000000000.0,Jennifer Crusie,2004.0,Bet Me,Bet Me,eng,3.95,70737,73479,3203,1759,4253,16515,24613,26339,https://images.gr-assets.com/books/1316129534m/854757.jpg
1595,1595,12024,1599,4,8949352,26138,146,romance,13395554,45,312364423,9780000000000.0,Kristin Hannah,2011.0,Night Road,Night Road,en-US,4.17,58028,63759,6334,679,2158,9867,24088,26967,https://images.gr-assets.com/books/1282369257m/8949352.jpg
1600,1600,415,1604,5,270805,26138,80,romance,262531,13,1416903569,9780000000000.0,Ellen Hopkins,2007.0,Impulse,"Impulse (Impulse, #1)",en-US,4.29,59804,62005,3125,969,2252,8580,16502,33702,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1610,1610,6477,1614,3,8680278,26138,718,romance,12901545,39,1416995587,9780000000000.0,Jenny Han,2011.0,We'll Always Have Summer,"We'll Always Have Summer (Summer, #3)",en-US,4.17,68112,71387,5139,1305,3605,11571,19752,35154,https://images.gr-assets.com/books/1327054226m/8680278.jpg
1612,1612,379,1616,3,136782,1691,498,action,833565,113,014240165X,9780000000000.0,Anthony Horowitz,2000.0,Alex Rider: Stormbreaker,"Stormbreaker (Alex Rider, #1)",eng,3.97,67602,72339,4333,1030,3881,16378,26045,25005,https://images.gr-assets.com/books/1288354739m/136782.jpg
1614,1614,1525,1618,5,95617,26138,190,romance,883913,36,842377506,9780000000000.0,"Francine Rivers, Richard Ferrone",1993.0,A Voice in the Wind,"A Voice in the Wind (Mark of the Lion, #1)",en-US,4.6,55556,56920,2647,680,903,3382,10680,41275,https://images.gr-assets.com/books/1459567327m/95617.jpg
1644,1644,751,1648,5,505304,1691,17,action,493345,39,307021343,9780000000000.0,"Janette Sebring Lowrey, Gustaf Tenggren",1942.0,The Poky Little Puppy (a Little Golden Book),The Poky Little Puppy (A Little Golden Book),eng,4.08,62571,63754,707,1261,3654,13263,15823,29753,https://images.gr-assets.com/books/1320424154m/505304.jpg
1645,1645,322,1649,3,5196,26138,130,romance,2485770,73,440235596,9780000000000.0,Maeve Binchy,1998.0,Tara Road,Tara Road,eng,3.88,60154,63312,1755,775,3273,16628,24613,18023,https://images.gr-assets.com/books/1403194637m/5196.jpg
1646,1646,74,1650,4,37677,1691,118,action,6180419,148,1587263890,9780000000000.0,Jack London,1906.0,The Call of the Wild / White Fang,The Call of the Wild/White Fang,eng,4.08,61126,63385,483,1001,2750,12179,21498,25957,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1647,1647,22661,1651,5,13188676,26138,893,romance,40181098,41,,,Tahereh Mafi,2014.0,"Ignite Me (Shatter Me, #3)","Ignite Me (Shatter Me, #3)",eng,4.44,83767,90571,11887,1250,2349,8392,21686,56894,https://images.gr-assets.com/books/1375972497m/13188676.jpg
1648,1648,709,1652,4,568645,26138,417,romance,2796618,55,1423100050,9780000000000.0,Ally Carter,2007.0,Cross My Heart and Hope to Spy,"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",en-US,4.13,69733,73404,3079,1351,2980,13191,23328,32554,https://images.gr-assets.com/books/1342448094m/568645.jpg
1651,1651,2295,1655,5,17204,26138,20,romance,2209036,58,399154094,9780000000000.0,Kate Jacobs,2006.0,The Friday Night Knitting Club,"The Friday Night Knitting Club (Friday Night Knitting Club, #1)",eng,3.41,60812,65065,8046,2739,8547,23141,20621,10017,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1654,1654,25291,1658,5,18297707,26138,1984,romance,21868234,53,,,Emma Chase,2013.0,Tangled,"Tangled (Tangled, #1)",eng,4.12,59705,90224,8633,2243,4107,14308,29042,40524,https://images.gr-assets.com/books/1375808439m/18297707.jpg
1662,1662,1025,1666,5,42038,26138,75,romance,1118349,656,1903436575,9780000000000.0,"William Shakespeare, Katherine Duncan-Jones",1592.0,Sonnets,Shakespeare's Sonnets,en-US,4.24,58291,63657,755,902,1890,9671,19809,31385,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1663,1663,6477,1667,4,8492856,26138,732,romance,13014066,31,670012947,9780000000000.0,Sarah Dessen,2011.0,What Happened to Goodbye,What Happened to Goodbye,eng,3.97,69636,72976,4082,1000,3765,16998,25820,25393,https://images.gr-assets.com/books/1347810788m/8492856.jpg
1665,1665,4272,1669,3,17020,26138,457,romance,1008846,35,60541431,9780000000000.0,Maureen Johnson,2005.0,13 Little Blue Envelopes,"13 Little Blue Envelopes (Little Blue Envelope, #1)",eng,3.65,66950,70828,4329,2447,7061,20927,23036,17357,https://images.gr-assets.com/books/1375030179m/17020.jpg
1667,1667,46511,1671,5,23734628,26138,1079,romance,43346673,51,1250049555,9780000000000.0,Rainbow Rowell,2015.0,Carry On,Carry On,eng,4.19,46197,87797,14621,2051,3611,12362,27273,42500,https://images.gr-assets.com/books/1429810397m/23734628.jpg
1669,1669,30153,1673,4,18149927,26138,591,romance,21996351,38,,,Jodi Ellen Malpas,2013.0,Beneath This Man ,"Beneath This Man (This Man, #2)",eng,4.3,44170,74457,3703,1532,2681,8933,19848,41463,https://images.gr-assets.com/books/1372773964m/18149927.jpg
1676,1676,513,1680,2,114159,26138,1288,romance,1615607,76,749935332,9780000000000.0,Nora Roberts,2004.0,Blue Dahlia,"Blue Dahlia (In the Garden, #1)",eng,4.11,57413,60144,1185,589,2089,12105,20662,24699,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1677,1677,167,1681,2,32067,26138,585,romance,3249302,672,014303961X,9780000000000.0,"D.H. Lawrence, Doris Lessing, Chester Brown",1928.0,Lady Chatterley's Lover,Lady Chatterley's Lover,eng,3.49,46541,75707,3780,2821,9235,25753,24177,13721,https://images.gr-assets.com/books/1425007748m/32067.jpg
1681,1681,247,1685,4,10915,26138,113,romance,3349637,55,743418719,9780000000000.0,Jodi Picoult,2001.0,Salem Falls,Salem Falls,en-US,3.8,59930,62434,2992,816,3815,17863,24523,15417,https://images.gr-assets.com/books/1344397557m/10915.jpg
1692,1692,3218,1696,5,27266,26138,366,romance,27912,55,451219945,9780000000000.0,Rachel Caine,2006.0,Glass Houses,"Glass Houses (The Morganville Vampires, #1)",en-US,3.92,77454,82220,4316,2743,5916,17829,24463,31269,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1698,1698,28391,1702,5,17200687,26138,181,romance,23675925,29,,,"Jay Crownover, Charlotte Connan de vries",2012.0,Rule,"Rule (Marked Men, #1)",eng,4.16,79077,83965,5399,1414,3008,12953,30227,36363,https://images.gr-assets.com/books/1357012113m/17200687.jpg
1699,1699,142,1703,3,17799,26138,150,romance,1739145,129,99448572,9780000000000.0,"Haruki Murakami, Philip Gabriel",1992.0," 国境の南、太陽の西 [Kokkyō no minami, taiyō no nishi]","South of the Border, West of the Sun",eng,3.87,47812,60117,3401,683,3284,15329,24938,15883,https://images.gr-assets.com/books/1443685506m/17799.jpg
1714,1714,199,1718,3,5454,26138,346,romance,841331,77,385731051,9780000000000.0,Ann Brashares,2003.0,The Second Summer of the Sisterhood,"The Second Summer of the Sisterhood (Sisterhood, #2)",en-US,3.78,67357,77713,2169,852,4713,24217,29115,18816,https://images.gr-assets.com/books/1467700995m/5454.jpg
1716,1716,6477,1720,5,7664334,26138,1184,romance,10261814,35,1416990658,9780000000000.0,Morgan Matson,2010.0,,Amy & Roger's Epic Detour,eng,4.05,65273,71650,7453,1337,3224,13719,25917,27453,https://images.gr-assets.com/books/1327989202m/7664334.jpg
1745,1745,1561,1749,3,263050,26138,273,romance,2563685,45,330488902,9780000000000.0,Ben Sherwood,2004.0,The Death and Life of Charlie St. Cloud,The Death and Life of Charlie St. Cloud,eng,4.01,46361,50912,2166,792,2530,11168,17487,18935,https://images.gr-assets.com/books/1329827169m/263050.jpg
1747,1747,513,1751,3,114145,26138,1380,romance,1615784,72,515114693,9780000000000.0,Nora Roberts,1994.0,Born in Fire ,"Born in Fire (Born In Trilogy, #1)",en-US,4.21,56901,59283,941,461,1511,10300,19642,27369,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1749,1749,14461,1753,5,11561469,26138,839,romance,16501870,32,,,Rebecca Donovan,2011.0,Reason to Breathe,"Reason to Breathe (Breathing, #1)",eng,4.23,68676,77887,5476,1711,2907,9999,24125,39145,https://images.gr-assets.com/books/1329013365m/11561469.jpg
1763,1763,5615,1767,4,6604794,26138,994,romance,6798696,68,803734956,9780000000000.0,Jandy Nelson,2010.0,The Sky Is Everywhere,The Sky Is Everywhere,eng,4.04,61937,71175,7709,1710,3899,13383,23304,28879,https://images.gr-assets.com/books/1496659743m/6604794.jpg
1765,1765,30046,1769,2,17617277,26138,1167,romance,24581234,28,1301347949,9780000000000.0,Katy Evans,2013.0,Real,"Real (Real, #1)",eng,4.21,83000,87959,7007,2266,3816,12023,24581,45273,https://images.gr-assets.com/books/1363442697m/17617277.jpg
1767,1767,983,1771,5,337113,26138,360,romance,1389477,596,140434747,9780000000000.0,"Anne Brontë, Stevie Davies",1848.0,The Tenant of Wildfell Hall,The Tenant of Wildfell Hall,eng,3.91,59408,65305,2751,1345,3512,15624,24144,20680,https://images.gr-assets.com/books/1479652419m/337113.jpg
1768,1768,2767,1772,4,272895,1691,90,action,671846,59,965476022,9780000000000.0,"Walter Farley, Keith Ward",1941.0,The Black Stallion,"The Black Stallion (The Black Stallion, #1)",eng,4.18,60720,62791,967,491,1824,11964,20094,28418,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1769,1769,21308,1773,4,13600318,26138,745,romance,19192337,29,,,S.C. Stephens,2013.0,Reckless,"Reckless (Thoughtless, #3)",en-US,4.42,69657,71579,5364,818,1832,7404,17860,43665,https://images.gr-assets.com/books/1356986017m/13600318.jpg
1772,1772,15076,1776,5,11381643,26138,1859,romance,16313158,17,983212546,9780000000000.0,R.L. Mathewson,2011.0,Playing for Keeps,"Playing for Keeps (Neighbor from Hell, #1)",eng,4.08,85266,91010,4884,1993,4315,15728,31458,37516,https://images.gr-assets.com/books/1406585295m/11381643.jpg
1785,1785,415,1789,4,4325,26138,460,romance,7995,35,142401757,9780000000000.0,Sarah Dessen,2000.0,Dreamland ,Dreamland,eng,3.91,64082,65731,3813,1556,4772,15338,20590,23475,https://images.gr-assets.com/books/1385861832m/4325.jpg
1787,1787,610,1791,3,248483,26138,1393,romance,1138972,33,1596912855,9780000000000.0,Shannon Hale,2007.0,Austenland,"Austenland (Austenland, #1)",en-US,3.54,66400,71565,10310,2414,8021,23997,22990,14143,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1800,1800,783,1804,3,1466455,26138,57,romance,2172728,42,60586133,9780000000000.0,Liane Moriarty,2003.0,Three Wishes,Three Wishes,en-US,3.76,40569,56511,4126,576,2847,17447,24125,11516,https://images.gr-assets.com/books/1183888822m/1466455.jpg
1809,1809,15076,1813,5,15505346,26138,427,romance,18151286,53,1405910216,9780000000000.0,Tracey Garvis-Graves,2011.0,On the Island,"On the Island (On the Island, #1)",eng,4.13,28651,64682,7927,996,2731,10618,22670,27667,https://images.gr-assets.com/books/1339162550m/15505346.jpg
1818,1818,9407,1822,2,12615008,26138,66,romance,17635020,20,8129118807,9790000000000.0,Chetan Bhagat,2011.0,"Revolution 2020: Love, Corruption, Ambition","Revolution 2020: Love, Corruption, Ambition",eng,3.07,42845,44470,1656,5263,9285,13415,9928,6579,https://images.gr-assets.com/books/1317964666m/12615008.jpg
1830,1830,9932,1834,4,23751850,26138,128,romance,17031353,37,425260933,9780000000000.0,Liane Moriarty,2011.0,The Hypnotist's Love Story,The Hypnotist's Love Story,en-CA,3.69,34107,56255,4525,630,3646,18306,23562,10111,https://images.gr-assets.com/books/1418234545m/23751850.jpg
1836,1836,2817,1840,2,84136,26138,1373,romance,2384,49,312979975,9780000000000.0,Sherrilyn Kenyon,2002.0,Fantasy Lover,Fantasy Lover (Dark-Hunterverse #1),eng,4.17,70274,74975,3081,1409,3288,12339,22030,35909,https://images.gr-assets.com/books/1348332807m/84136.jpg
1837,1837,4040,1841,3,2029177,26138,638,romance,3307932,62,031601477X,9780000000000.0,"James Patterson, Gabrielle Charbonnet",2008.0,Sundays at Tiffany's,Sundays at Tiffany's,eng,3.74,51720,58612,5751,2030,5503,15467,18033,17579,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1842,1842,21393,1846,2,17876893,26138,932,romance,25032500,66,425273865,9780000000000.0,Sylvia Day,2014.0,Captivated by You,"Captivated by You (Crossfire, #4)",eng,4.06,57831,71432,5234,1485,4142,13664,21245,30896,https://images.gr-assets.com/books/1410020040m/17876893.jpg
1845,1845,11111,1849,5,17623975,26138,1321,romance,17992862,50,142422959,9780000000000.0,Gayle Forman,2013.0,Just One Day,"Just One Day (Just One Day, #1)",eng,4.02,47674,66861,7371,1591,3191,12505,24526,25048,https://images.gr-assets.com/books/1368722144m/17623975.jpg
1846,1846,1132,1850,5,1661957,26138,492,romance,1656772,50,1416953574,9780000000000.0,Lisa McMann,2008.0,Wake,"Wake (Wake, #1)",eng,3.75,69046,72067,5180,3159,6682,17699,21663,22864,https://images.gr-assets.com/books/1361417311m/1661957.jpg
1848,1848,2931,1852,5,270804,26138,50,romance,262530,16,1416940901,9780000000000.0,Ellen Hopkins,2007.0,"Glass (Crank, #2)","Glass (Crank, #2)",eng,4.28,51726,53542,2455,519,1699,7695,15899,27730,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1849,1849,11,1853,3,760,26138,124,romance,2166510,165,307278492,9780307278490.0,"Gabriel García Márquez, Edith Grossman",2004.0,Memoria de mis putas tristes,Memories of My Melancholy Whores,eng,3.59,33534,50285,3018,1379,4851,16568,17933,9554,https://images.gr-assets.com/books/1327484658m/760.jpg
1889,1889,31372,1893,3,15799166,26138,725,romance,21522131,43,345544110,9780000000000.0,J. Kenner,2013.0,"Release Me (Stark Trilogy, #1)","Release Me (Stark Trilogy, #1)",eng,4.14,61211,66473,2919,945,2760,11184,22878,28706,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1890,1890,8671,1894,3,17910611,26138,560,romance,21865617,59,812984277,9780000000000.0,Sophie Kinsella,2013.0,Wedding Night,Wedding Night,eng,3.4,32084,59482,5165,2495,8566,21212,17215,9994,https://images.gr-assets.com/books/1396634329m/17910611.jpg
1902,1902,9497,1906,5,7137775,26138,1245,romance,7401343,37,802720854,9780000000000.0,Simone Elkeles,2010.0,Rules of Attraction,"Rules of Attraction (Perfect Chemistry, #2)",en-US,4.22,68270,71900,3704,797,2666,11463,22277,34697,https://images.gr-assets.com/books/1439792205m/7137775.jpg
1903,1903,1164,1907,3,93007,1691,210,action,1411202,472,1595406557,9780000000000.0,Howard Pyle,1883.0,The Merry Adventures of Robin Hood,The Merry Adventures of Robin Hood,eng,4.05,48879,51979,665,427,1987,11657,18235,19673,https://images.gr-assets.com/books/1389006722m/93007.jpg
1909,1909,322,1913,3,9301,26138,139,romance,23728,63,60090383,9780000000000.0,Marian Keyes,1997.0,Rachel's Holiday,"Rachel's Holiday (Walsh Family, #2)",eng,3.93,48663,51428,1261,954,2645,12370,18723,16736,https://images.gr-assets.com/books/1407709261m/9301.jpg
1915,1915,67,1919,3,7741325,26138,533,romance,10551409,40,375866590,9780000000000.0,"Rachel Cohn, David Levithan",2010.0,Dash & Lily's Book of Dares,"Dash & Lily's Book of Dares (Dash & Lily, #1)",eng,3.82,54920,62663,6564,1504,4374,16073,22588,18124,https://images.gr-assets.com/books/1327874609m/7741325.jpg
1926,1926,610,1930,3,59829,26138,1393,romance,58217,72,749932775,9780000000000.0,Nora Roberts,2001.0,Dance Upon The Air,"Dance Upon the Air (Three Sisters Island, #1)",eng,4.19,50255,54488,1449,575,1514,9430,18221,24748,https://images.gr-assets.com/books/1263843885m/59829.jpg
1939,1939,5750,1943,3,16085481,26138,200,romance,21571970,38,385536976,9780000000000.0,Kevin Kwan,2013.0,Crazy Rich Asians,Crazy Rich Asians (Crazy Rich Asians #1),eng,3.7,46208,55387,6601,1369,4244,16017,22007,11750,https://images.gr-assets.com/books/1364852559m/16085481.jpg
1962,1962,513,1966,5,59810,26138,1368,romance,759792,57,515126772,9780000000000.0,Nora Roberts,1999.0,Jewels of the Sun,"Jewels of the Sun (Gallaghers of Ardmore, #1)",en-US,4.22,50630,52743,1027,506,1433,8997,17025,24782,https://images.gr-assets.com/books/1388194052m/59810.jpg
1977,1977,23340,1981,4,15852756,26138,736,romance,21600625,30,,,Raine Miller,2010.0,Naked,"Naked (The Blackstone Affair, #1)",eng,4.02,64223,66632,2940,1755,3755,12364,22119,26639,https://images.gr-assets.com/books/1346136598m/15852756.jpg
1979,1979,16990,1983,5,11479285,26138,1090,romance,16371399,26,,,Abbi Glines,2011.0,Breathe,"Breathe (Sea Breeze, #1)",eng,3.88,69350,72690,3706,2392,5354,16350,23352,25242,https://images.gr-assets.com/books/1341120438m/11479285.jpg
1990,1990,27069,1994,4,17337562,26138,703,romance,24071049,32,,,Abbi Glines,2013.0,"Forever Too Far (Too Far, #3)","Forever Too Far (Rosemary Beach, #3; Too Far, #3)",eng,4.24,70029,72847,4490,870,2631,10633,22505,36208,https://images.gr-assets.com/books/1368151288m/17337562.jpg
2011,2011,31,2015,3,83674,26138,743,romance,3338995,146,446364495,9780000000000.0,Robert James Waller,1992.0,The Bridges of Madison County,The Bridges of Madison County,eng,3.51,56428,61065,3458,4612,7891,15859,16846,15857,https://images.gr-assets.com/books/1344267141m/83674.jpg
2035,2035,897,2039,3,133526,1691,22,action,1416904,33,670175919,9780000000000.0,Robert McCloskey,1948.0,Blueberries for Sal,Blueberries for Sal,eng,4.18,58571,59275,991,936,2457,10539,16179,29164,https://images.gr-assets.com/books/1363586056m/133526.jpg
2036,2036,10352,2040,4,17340050,26138,972,romance,24075414,33,,,Colleen Hoover,2013.0,Losing Hope,"Losing Hope (Hopeless, #2)",eng,4.39,71841,74907,6563,819,1740,7986,20950,43412,https://images.gr-assets.com/books/1368348507m/17340050.jpg
2042,2042,15457,2046,2,18465657,26138,168,romance,26123646,25,034554689X,9780000000000.0,Emily Giffin,2014.0,,The One & Only,eng,3.11,36795,46453,5155,5247,9038,14347,10994,6827,https://images.gr-assets.com/books/1387399626m/18465657.jpg
2050,2050,199,2054,3,5452,26138,285,romance,1710082,70,553375938,9780000000000.0,Ann Brashares,2005.0,Girls in Pants: The Third Summer of the Sisterhood,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",eng,3.82,56485,63863,1581,537,3527,19531,23839,16429,https://images.gr-assets.com/books/1320473346m/5452.jpg
2061,2061,9893,2065,1,10163292,26138,538,romance,11340098,91,670022802,9780000000000.0,Jojo Moyes,2008.0,The Last Letter From Your Lover,The Last Letter from Your Lover,eng,3.94,41138,52899,5264,728,2422,11746,22222,15781,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2065,2065,340,2069,5,23219,26138,463,romance,905861,44,60851988,9780000000000.0,Meg Cabot,2006.0,Queen of Babble,"Queen of Babble (Queen of Babble, #1)",eng,3.71,54248,56384,1899,1875,4659,16341,18743,14766,https://images.gr-assets.com/books/1371049249m/23219.jpg
2068,2068,415,2072,5,270807,26138,165,romance,262533,12,1416903542,9780000000000.0,Ellen Hopkins,2006.0," Burned (Burned, #1)","Burned (Burned, #1)",en-US,4.24,48333,50310,3379,810,2073,7454,13804,26169,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2071,2071,340,2075,4,93722,26138,368,romance,3220771,48,60845546,9780000000000.0,Meg Cabot,2002.0,The Boy Next Door (Boy #1),"The Boy Next Door (Boy, #1)",eng,3.83,50953,54090,1832,1240,3446,14574,18696,16134,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2087,2087,610,2091,2,762053,26138,1163,romance,1366432,71,051513628X,9780000000000.0,Nora Roberts,2003.0,"Key of Light (Key Trilogy, #1)","Key of Light (Key Trilogy, #1)",eng,4.16,48805,50290,847,476,1623,9505,16286,22400,https://images.gr-assets.com/books/1178133365m/762053.jpg
2088,2088,4635,2092,5,2241059,26138,57,romance,3032810,13,1416950052,9780000000000.0,Ellen Hopkins,2008.0,Identical,Identical,eng,4.34,47804,48870,3085,669,1611,6062,12503,28025,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2095,2095,2537,2099,5,282282,26138,143,romance,273828,11,1421505851,9780000000000.0,"Yoshiki Nakamura, Tomo Kimura",2002.0,スキップ・ビート! 1 ,"Skip Beat!, Vol. 01",eng,4.26,46708,46850,488,1449,2100,6171,10054,27076,https://images.gr-assets.com/books/1173395297m/282282.jpg
2100,2100,14767,2104,4,9627755,26138,1769,romance,14515040,34,525425632,9780000000000.0,Stephanie Perkins,2014.0,Isla and the Happily Ever After,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",eng,4.1,70995,76687,10433,1449,3640,13319,25409,32870,https://images.gr-assets.com/books/1362064564m/9627755.jpg
2102,2102,31219,2106,5,17255265,26138,476,romance,23847880,34,,,Jodi Ellen Malpas,2013.0,This Man Confessed,"This Man Confessed (This Man, #3)",eng,4.43,62297,64568,3750,983,1743,6265,15288,40289,https://images.gr-assets.com/books/1368274129m/17255265.jpg
2108,2108,31607,2112,4,20698530,26138,1177,romance,40018073,44,144242673X,9780000000000.0,Jenny Han,2015.0,P.S. I Still Love You,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",eng,4.17,62907,67887,10332,616,2227,10879,25670,28495,https://images.gr-assets.com/books/1422881430m/20698530.jpg
2132,2132,72,2136,4,2152,26138,242,romance,3498000,76,452286530,9780000000000.0,Karen Joy Fowler,2004.0,The Jane Austen Book Club,The Jane Austen Book Club,en-US,3.07,53128,56833,3866,4240,12024,21969,12944,5656,https://images.gr-assets.com/books/1309282966m/2152.jpg
2137,2137,14461,2141,5,13454149,26138,446,romance,18981122,30,1452440026,9780000000000.0,Rebecca Donovan,2012.0,Barely Breathing,"Barely Breathing (Breathing, #2)",eng,4.33,53483,61085,3380,662,1678,7250,18797,32698,https://images.gr-assets.com/books/1347885288m/13454149.jpg
2149,2149,26497,2153,4,15717876,26138,964,romance,21388954,41,1939045010,9780000000000.0,Jessica Sorensen,2012.0,The Secret of Ella and Micha,"The Secret of Ella and Micha (The Secret, #1)",eng,4.01,59890,65527,3269,1248,3360,12841,23872,24206,https://images.gr-assets.com/books/1365638597m/15717876.jpg
2155,2155,610,2159,4,628139,26138,1286,romance,3241491,71,515121843,9780000000000.0,Nora Roberts,1998.0,Sea Swept,"Sea Swept (Chesapeake Bay Saga, #1)",en-US,4.24,48078,50100,962,379,1135,8313,16669,23604,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2157,2157,23663,2161,5,18189606,26138,673,romance,25591533,23,1442435003,9780000000000.0,Morgan Matson,2014.0,Since You've Been Gone,Since You've Been Gone,eng,4.19,59705,64449,8622,888,2083,9489,23131,28858,https://images.gr-assets.com/books/1377702326m/18189606.jpg
2174,2174,48570,2178,4,24920901,26138,1915,romance,44100599,37,,,Elle Kennedy,2015.0,The Deal,"The Deal (Off-Campus, #1)",eng,4.3,75699,79406,7464,1149,1849,9049,27132,40227,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2175,2175,34967,2179,4,26074181,26138,928,romance,42492659,20,62392174,9780000000000.0,Kiera Cass,2016.0,The Crown,"The Crown (The Selection, #5)",eng,3.8,64158,72531,9632,1953,6304,18648,22933,22693,https://images.gr-assets.com/books/1446759650m/26074181.jpg
2179,2179,8893,2183,5,8204005,26138,1060,romance,13051038,16,1451533969,9780000000000.0,Tina Reber,2010.0,"Love Unscripted (Love, #1)","Love Unscripted (Love, #1)",en-US,4.04,59261,62368,3383,2247,3641,10316,19456,26708,https://images.gr-assets.com/books/1327889844m/8204005.jpg
2190,2190,9491,2194,4,25494343,26138,648,romance,19104294,64,1442468351,9780000000000.0,Cassandra Clare,2016.0,Lady Midnight,"Lady Midnight (The Dark Artifices, #1)",eng,4.47,84711,93259,12298,1511,1870,7629,22675,59574,https://images.gr-assets.com/books/1460477682m/25494343.jpg
2191,2191,4421,2195,5,2325825,1691,213,action,3897683,81,1905294719,9780000000000.0,Cornelia Funke,2007.0,Tintentod,"Inkdeath (Inkworld, #3)",eng,3.93,53591,59638,2729,1518,4052,13029,19302,21737,https://images.gr-assets.com/books/1327341991m/2325825.jpg
